clause,true_label,output
"Sie haben jederzeit das Recht unentgeltlich Auskunft über Herkunft, Empfänger und Zweck Ihrer gespeicherten personenbezogenen Daten zu erhalten. Sie haben außerdem ein Recht, die Berichtigung, Sperrung oder Löschung dieser Daten zu verlangen.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Sie haben jederzeit das Recht unentgeltlich Auskunft über Herkunft, Empfänger und Zweck Ihrer gespeicherten personenbezogenen Daten zu erhalten. Sie haben außerdem ein Recht, die Berichtigung, Sperrung oder Löschung dieser Daten zu verlangen.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}"
"Ein Teil der Daten wird erhoben, um eine fehlerfreie Bereitstellung der Website zu gewährleisten. Andere Daten können zur Analyse Ihres Nutzerverhaltens verwendet werden.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Ein Teil der Daten wird erhoben, um eine fehlerfreie Bereitstellung der Website zu gewährleisten. Andere Daten können zur Analyse Ihres Nutzerverhaltens verwendet werden.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This"
these Terms and the relationship between you and Weebly shall be governed by the laws of the State of California without regard to its conflict of law provisions,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""these Terms and the relationship between you and Weebly shall be governed by the laws of the State of California without regard to its conflict of law provisions""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""Transparency"", ""explanation"": ""This clause may negatively affect user understanding of the Terms or user rights."", ""violated_statute"": ""None""}

{""risk_status"": ""Fair"", ""dark_pattern_category"": ""None"", ""explanation"": ""This clause seems fair."", ""violated_statute"": ""None""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""General User Rights"", ""explanation"": ""This clause may negatively affect general user rights"
"All disputes related to these Terms or the Services will be brought solely in the federal or state courts located in San Francisco, California.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""All disputes related to these Terms or the Services will be brought solely in the federal or state courts located in San Francisco, California.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}"
The failure of Weebly to exercise or enforce any right or provision of these Terms shall not constitute a waiver of such right or provision,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""The failure of Weebly to exercise or enforce any right or provision of these Terms shall not constitute a waiver of such right or provision""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"In the unlikely event we're ever contacted by a government agency with a legal request for your data, we may be required to hand over information such as your forum posting history. Unless we are prohibited by law or by court order from doing so, we will notify you of the request and provide you with a copy of the subpoena, court order, or warrant so that you can challenge the legal process if you wish.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""In the unlikely event we're ever contacted by a government agency with a legal request for your data, we may be required to hand over information such as your forum posting history. Unless we are prohibited by law or by court order from doing so, we will notify you of the request and provide you with a copy of the subpoena, court order, or warrant so that you can challenge the legal process if you wish.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Safe"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause is fair and user-friendly."", ""violated_statute"": ""None""}

{""risk_status"": ""Unknown"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""The effect on user rights is unclear"
"We reserve the right, at any time and without prior notice, to remove or disable access to content at our discretion for any reason or no reason.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We reserve the right, at any time and without prior notice, to remove or disable access to content at our discretion for any reason or no reason.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Green"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause is fair and transparent."", ""violated_statute"": ""None""}

{""risk_status"": ""Gray"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights, but user control is still possible."", ""violated_statute"": ""None""}

{""risk_status"": ""Red"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may negatively affect tracking"
Things could change. We may amend or terminate any terms of this Agreement at any time and such amendment or termination will be effective at the time we post the revised terms on the site.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Things could change. We may amend or terminate any terms of this Agreement at any time and such amendment or termination will be effective at the time we post the revised terms on the site.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""General Terms"", ""explanation"": ""This clause may"
"We reserve the right to modify, add to, discontinue, and/or retire any Service and/or any feature of a Service at any time.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We reserve the right to modify, add to, discontinue, and/or retire any Service and/or any feature of a Service at any time.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This"
"We do not refund any monies originally placed into your Envato Market account to buy Envato Credits (but you may have rights under an applicable consumer law, which we don’t exclude",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We do not refund any monies originally placed into your Envato Market account to buy Envato Credits (but you may have rights under an applicable consumer law, which we don’t exclude""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Fair"", ""dark_pattern_category"": ""None"", ""explanation"": ""This clause is fair."", ""violated_statute"": ""None""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may negatively affect tracking & privacy."", ""vi"
"Last Update to Terms of Use: June 30, 2020",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Last Update to Terms of Use: June 30, 2020""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{
  ""risk_status"": ""Red"",
  ""dark_pattern_category"": ""User Rights"",
  ""explanation"": ""This clause may negatively affect user rights and user control."",
  ""violated_statute"": ""GDPR principles""
}"
"In particular, we use Google Analytics – for information on how Google Analytics collects and processes data, please click here. If you would prefer not to accept cookies, please see “Managing Your Information,” below.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""In particular, we use Google Analytics – for information on how Google Analytics collects and processes data, please click here. If you would prefer not to accept cookies, please see “Managing Your Information,” below.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause is generally fair."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause is generally fair."", ""violated_"
